,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,QUARTER
0,Shot Chart Detail,0029700006,93,209,Dell Curry,1610612766,Charlotte Hornets,1,2,37,Missed Shot,Jump Shot,2PT FG,Mid-Range,Center(C),16-24 ft.,19,8,192,1,0,10-31-1997,CHH,NYK,Q1
1,Shot Chart Detail,0029700006,145,209,Dell Curry,1610612766,Charlotte Hornets,2,10,22,Made Shot,Jump Shot,2PT FG,In The Paint (Non-RA),Center(C),8-16 ft.,11,5,113,1,1,10-31-1997,CHH,NYK,Q2
2,Shot Chart Detail,0029700006,147,209,Dell Curry,1610612766,Charlotte Hornets,2,9,56,Missed Shot,Jump Shot,3PT FG,Left Corner 3,Left Side(L),24+ ft.,23,-237,-12,1,0,10-31-1997,CHH,NYK,Q2
3,Shot Chart Detail,0029700006,269,209,Dell Curry,1610612766,Charlotte Hornets,3,9,35,Made Shot,Layup Shot,2PT FG,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,10-31-1997,CHH,NYK,Q3
4,Shot Chart Detail,0029700006,272,209,Dell Curry,1610612766,Charlotte Hornets,3,9,14,Missed Shot,Jump Shot,3PT FG,Left Corner 3,Left Side(L),24+ ft.,24,-239,25,1,0,10-31-1997,CHH,NYK,Q3
5,Shot Chart Detail,0029700006,286,209,Dell Curry,1610612766,Charlotte Hornets,3,7,20,Made Shot,Jump Shot,3PT FG,Left Corner 3,Left Side(L),24+ ft.,23,-239,-18,1,1,10-31-1997,CHH,NYK,Q3
6,Shot Chart Detail,0029700006,290,209,Dell Curry,1610612766,Charlotte Hornets,3,6,55,Missed Shot,Jump Shot,2PT FG,Mid-Range,Left Side(L),8-16 ft.,14,-141,44,1,0,10-31-1997,CHH,NYK,Q3
7,Shot Chart Detail,0029700006,308,209,Dell Curry,1610612766,Charlotte Hornets,3,5,13,Missed Shot,Jump Shot,2PT FG,Mid-Range,Left Side(L),8-16 ft.,14,-139,33,1,0,10-31-1997,CHH,NYK,Q3
8,Shot Chart Detail,0029700006,318,209,Dell Curry,1610612766,Charlotte Hornets,3,4,27,Made Shot,Jump Shot,3PT FG,Above the Break 3,Right Side Center(RC),24+ ft.,25,169,196,1,1,10-31-1997,CHH,NYK,Q3
9,Shot Chart Detail,0029700006,376,209,Dell Curry,1610612766,Charlotte Hornets,4,11,28,Missed Shot,Jump Shot,2PT FG,Mid-Range,Center(C),16-24 ft.,20,8,203,1,0,10-31-1997,CHH,NYK,Q4
